,Product_name,Price
0,OZiva Daily Protein Activ For Men with Clean Whey Prote...,₹434
1,GNC Pro Performance 100% Whey Protein,"₹4,439"
2,MUSCLEBLAZE Beginner's Whey Protein,₹437
3,BIGMUSCLES NUTRITION Premium Gold Whey Whey Protein,"₹1,639"
4,BIGMUSCLES NUTRITION Essential Whey Protein | 24g Prote...,₹913
5,Nutrabay Pure 100% Whey Protein Concentrate || Raw Whey...,₹839
6,AS-IT-IS Nutrition Whey Protein Concentrate 80% Unflavo...,"₹1,639"
7,"OZiva Protein & Herbs,Women with Ayurvedic Herbs, for B...","₹1,367"
8,"XLR8 Classic Whey , 24 g Protein, 5.5 BCAA, No Maltodex...","₹1,039"
9,Optimum Nutrition (ON) Gold Standard 100% Protein Powde...,"₹1,597"
10,Nakpro PERFORM Whey Protein Supplement Powder Whey Prot...,"₹1,273"
11,Healthy Origins Beginner's Gold Raw Isolate Whey Protei...,₹344
12,"MUSCLEBLAZE Beginner's Protein (Jar Pack), Whey Supplem...","₹1,339"
13,"MUSCLEBLAZE Fuel One Whey Protein, 24 g Protein, 5.29 B...","₹1,099"
14,Optimum Nutrition (ON) Gold Standard 100% Protein Powde...,"₹3,239"
15,"HEALTHOXIDE My First Protein with whey, casein & pea, C...",₹659
16,BIGMUSCLES NUTRITION Premium Gold Whey Vanilla Creme Wh...,"₹1,649"
17,HIMALAYA Quista Pro Advanced 2 Kg Whey Protein,"₹2,952"
18,MUSCLEBLAZE Raw Whey Protein,"₹3,091"
19,"Nakpro PLATINUM WheyProtein Isolate- 4comboChocolate,Va...","₹3,889"
20,MUSCLEBLAZE Biozyme Performance Whey Protein (2.2 lb/ W...,"₹2,439"
21,MUSCLEBLAZE Beginner's Whey Protein,"₹1,212"
22,AS-IT-IS Nutrition Whey Protein Concentrate 80% Unflavo...,₹895
23,MUSCLEBLAZE Fuel One Whey Protein Immunity+ Whey Protei...,"₹1,789"
24,HIMALAYA Quista Pro Whey Protein,"₹1,710"
25,BIGMUSCLES NUTRITION Premium Gold Whey Caffe Latte Whey...,"₹1,649"
26,BIGMUSCLES NUTRITION Purely Whey | Isolate Whey Matrix ...,"₹1,139"
27,OZiva Advance Hair Nourishment Combo (Protein and Herbs...,"₹1,388"
28,BIGMUSCLES NUTRITION Premium Gold Whey | 25g Protein Pe...,"₹3,259"
29,Optimum Nutrition (ON) Gold Standard 100% Protein Powde...,"₹6,739"
30,"XLR8 Whey Protein with 24 g protein, 5.4 g BCAA - 2 lbs...","₹1,439"
31,IRON LIFTERS Coffee Flavor 6 LBS 90 Serving Protein Pow...,"₹4,440"
32,Nakpro PLATINUM 100% Whey Protein Isolate Supplement Po...,"₹1,824"
33,MUSCLEBLAZE Raw Whey Protein,"₹1,789"
34,"BIGMUSCLES NUTRITION Frotein [30 Servings], Refreshing ...","₹1,689"
35,Osoaa Concentrate Supplement for Muscle Support & Recov...,"₹2,339"
36,Nakpro PERFORM Whey Protein Supplement Powder - Cookies...,"₹1,389"
37,OZiva Protein & Herbs Shake for Women (17 Servings) Whe...,"₹1,477"
38,"MUSCLEBLAZE Biozyme Performance Whey, Labdoor USA Certi...","₹1,239"
39,"OneLife Whey Protein Isolate + Concentrate,20+ Vitamins...","₹1,605"
